v1,v2
ham,Just sleeping..and surfing
ham,Nice.nice.how is it working?
ham,"Merry Christmas to you too babe, i love ya *kisses*"
ham,Do you always celebrate NY's with your family ?
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.
ham,"Yeah I should be able to, I'll text you when I'm ready to meet up"
ham,I plane to give on this month end.
ham,Gibbs unsold.mike hussey
ham,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*
ham,I.ll hand her my phone to chat wit u
ham,Yar else i'll thk of all sorts of funny things.
ham,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
ham,Cos i want it to be your thing
ham,I'm wif him now buying tix lar...
ham,What year. And how many miles.
ham,Just now saw your message.it k da:)
spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
ham,I have gone into get info bt dont know what to do
ham,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ..."
ham,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,"Oh, my love, it's soooo good to hear from you. Omg I missed you so much today. I'm sorry your having problems with the provider but thank you for tming me"
spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
ham,"ItÛ÷s reassuring, in this crazy world."
ham,Well boy am I glad G wasted all night at applebees for nothing
ham,when you and derek done with class?
ham,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! 
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
ham,"Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)"
ham,That is wondarfull song
spam,Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
ham,"Sorry sir, i will call you tomorrow.  senthil.hsbc"
ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
ham,You sure your neighbors didnt pick it up
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
ham,I accidentally deleted the message. Resend please.
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386 
ham,Hi! This is Roger from CL. How are you?
ham,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\""."""
ham,I'm home...
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)
ham,Can u get pic msgs to your phone?
ham,Why i come in between you people
ham,jay says he'll put in  &lt;#&gt;
ham,Eatin my lunch...
ham,Yeah sure I'll leave in a min
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
ham,Once free call me sir.
ham,Anything lor but toa payoh got place 2 walk meh...
ham,Got it..mail panren paru..
ham,Dai i downloaded but there is only exe file which i can only run that exe after installing.
ham,At home by the way
ham,Wat time u finish ur lect today?
ham,So what do you guys do.
spam,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX å£1.50
ham,have * good weekend.
ham,"\Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?\"""""
spam,"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,Yup... How Ì_ noe leh...
ham,I fetch yun or u fetch?
ham,After the drug she will be able to eat.
spam,I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end
ham,I'll text now! All creepy like so he won't think that we forgot
ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. "
ham,Well done and ! luv ya all 
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,Dear :-/ why you mood off. I cant drive so i brother to drive
ham,"Cool, text me when you're ready"
ham,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come..."
ham,I did. One slice and one breadstick. Lol
ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up"
ham,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!
ham,But i'll b going 2 sch on mon. My sis need 2 take smth.
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p "
ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
ham,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.
ham,Does not operate after  &lt;#&gt;  or what
ham,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming
ham,I dont. Can you send it to me. Plus how's mode.
ham,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)"
ham,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*
ham,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*"
spam,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !"
ham,One small prestige problem now.
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
ham,Love it! I want to flood that pretty pussy with cum...
ham,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\"""""
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,From tomorrow onwards eve 6 to 3 work.
ham,Am i that much dirty fellow?
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p"
ham,Ha ha ha good joke. Girls are situation seekers.
ham,Pls pls find out from aunt nike.
spam,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)"
ham,"Jus chillaxin, what up"
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,"Aight, text me tonight and we'll see what's up"
ham,Anything...
ham,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:)
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
ham,I am in office:)whats the matter..msg me now.i will call you at break:).
ham,"Dad wanted to talk about the apartment so I got a late start, omw now"
spam,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at å£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS"
ham,Ok which your another number
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
ham,Pls come quick cant bare this.
ham,Glad to see your reply.
ham,"I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too"
spam,This message is brought to you by GMW Ltd. and is not connected to the
spam,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@å£1.50rcvd
ham,What should i eat fo lunch senor
ham,Ok no prob...
ham,I want  &lt;#&gt;  rs da:)do you have it?
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
ham,I just saw ron burgundy captaining a party boat so yeah
ham,"I've got ten bucks, jay is being noncomittal"
ham,Yes :)it completely in out of form:)clark also utter waste.
ham,Call him and say you not coming today ok and tell them not to fool me like this ok
ham,K..k...from tomorrow onwards started ah?
ham,Please sen :)my kind advice :-)please come here and try:-)
ham,Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit
ham,Whens your radio show?
ham,Thought praps you meant another one. Goodo! I'll look tomorrow 
ham,Well i will watch shrek in 3D!!B)
ham,"Ha. You donÛ÷t know either. I did a a clever but simple thing with pears the other day, perfect for christmas."
ham,Quite late lar... Ard 12 anyway i wun b drivin...
ham,IÛ÷ll have a look at the frying pan in case itÛ÷s cheap or a book perhaps. No thatÛ÷s silly a frying pan isnÛ÷t likely to be a book
ham,Nope i waiting in sch 4 daddy... 
ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
ham,I'll probably be by tomorrow (or even later tonight if something's going on)
ham,Wat happened to the cruise thing
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.
ham,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: \GOODMORNING &amp; HAVE A NICE DAY\"" :)"""
ham,"Aight, let me know when you're gonna be around usf"
ham,K. I will sent it again
ham,No break time one... How... I come out n get my stuff fr Ì_?
ham,K..k:)how much does it cost?
ham,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone
ham,No problem. We will be spending a lot of quality time together...
ham,Yes i have. So that's why u texted. Pshew...missing you so much
ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow
ham,Ok. How many should i buy.
spam,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS)
ham,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................
ham,"Jay told me already, will do"
ham,Am going to take bath ill place the key in window:-)
ham,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao..."
ham,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!
ham,Juz go google n search 4 qet...
ham,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.
ham,* Am on my way
ham,Y bishan lei... I tot Ì_ say lavender? 
ham,will you like to be spoiled? :)
spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114"
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
ham,Was playng 9 doors game and gt racing on phone lol
ham,Well you told others you'd marry them...
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,I wish u were here. I feel so alone
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
ham,Is that seriously how you spell his name?
ham,I want snow. It's just freezing and windy.
ham,"Sorry, I'll call later"
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
ham,Sary just need Tim in the bollox &it hurt him a lot so he tol me!
spam,FREE entry into our å£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
ham,Ok no prob... I'll come after lunch then...
spam,Todays Voda numbers ending 1225 are selected to receive a å£50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app 
ham,Ok i've sent u da latest version of da project.
ham,"Haha just kidding, papa needs drugs"
ham,Oh... Kay... On sat right?
ham,I have printed it oh. So  &lt;#&gt;  come upstairs
ham,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8
ham,He also knows about lunch menu only da. . I know
ham,Am i that much bad to avoid like this?
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
ham,Ok. But i finish at 6.
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
ham,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/
ham,Fine am simply sitting.
ham,How? Izzit still raining?
ham,Good Morning plz call me sir
ham,Ofcourse I also upload some songs
ham,Take care and sleep well.you need to learn to change in life.you only need to get CONVINCED on that.i will wait but no more conversations between us.GET CONVINCED by that time.Your family is over for you in many senses.respect them but not overemphasise.or u have no role in my life.
ham,"A boy was late 2 home. His father: \POWER OF FRNDSHIP\"""""
spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248
spam,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop"
ham,Yar but they say got some error.
ham,"Aight, I'll text you when I'm back"
spam,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp å£1.50/msg
ham,Same to u...
ham,Mm yes dear look how i am hugging you both. :-P
ham,if you text on your way to cup stop that should work. And that should be BUS
spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
ham,yay! finally lol. i missed our cinema trip last week :-(
ham,To day class is there are no class.
ham,Chk in ur belovd ms dict
ham,I need details about that online job.
ham,Pls help me tell Ashley that i cant find her number oh
spam,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50
ham,Got it! It looks scrumptious... daddy wants to eat you all night long!
ham,"Awesome, text me when you're restocked"
ham,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola"
ham,Y de asking like this.
ham,Ard 6 like dat lor.
ham,"Sorry, I'll call later"
ham,"Sorry, I'll call later"
ham,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta."
ham,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
ham,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\""."""
ham,Lol yes. But it will add some spice to your day.
ham,"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\"""""
ham,K...k...yesterday i was in cbe .
ham,Do you know when the result.
ham,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know."
spam,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=trueåÁC C RingtoneåÁ
ham,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.
ham,"Sorry, I'll call later"
ham,Yavnt tried yet and never played original either
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat."
ham,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. ItåÕs the least a unique person like u deserve. Sleep tight or morning
ham,Would me smoking you out help us work through this difficult time
spam,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!
ham,Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.
ham,Hey they r not watching movie tonight so i'll prob b home early...
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
ham,Send me yetty's number pls.
ham,"K, I might come by tonight then if my class lets out early"
ham,Are you still getting the goods.
spam,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate)
ham,I cant pick the phone right now. Pls send a message
spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm"
ham,Yup... From what i remb... I think should be can book... 
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
ham,I anything lor.
ham,"Yes, princess. Toledo."
ham,You all ready for * big day tomorrow?
ham,So what u doing today?
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
ham,Why did I wake up on my own &gt;:(
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
ham,So no messages. Had food?
ham,Pls she needs to dat slowly or she will vomit more.
ham,"I call you later, don't have network. If urgnt, sms me."
ham,"No, but you told me you were going, before you got drunk!"
ham,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
ham,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow"
ham,Will be office around 4 pm. Now i am going hospital.
ham,K:)k:)what are detail you want to transfer?acc no enough?
ham,Love you aathi..love u lot..
ham,Oh thanks a lot..i already bought 2 eggs ..
ham,ÌÏ still got lessons?  ÌÏ in sch?
ham,I want to lick your pussy now...
ham,Ok thanx... Take care then...
spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
ham,"Greetings me, ! Consider yourself excused."
ham,Me n him so funny...
ham,I am not having her number sir
ham,Mm umma ask vava also to come tell him can play later together
ham,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later."
ham,I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?
ham,Kinda. First one gets in at twelve! Aah. Speak tomo
ham,Okie.. Thanx..
spam,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW
ham,Is that on the telly? No its Brdget Jones!
ham,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.
ham,S:-)if we have one good partnership going we will take lead:)
ham,"Sir, i am waiting for your call, once free please call me."
ham,I need you to be in my strong arms...
ham,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?
ham,In that case I guess I'll see you at campus lodge
spam,"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16"
ham,Babe ? I lost you ... :-(
ham,"Yeah why not, is the gang all ready"
spam,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
ham,Will do. Have a good day
ham,Ill call you evening ill some ideas.
spam,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service"
ham,No objection. My bf not coming.
spam,Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
ham,Howz that persons story
ham,Oh you got many responsibilities.
ham,"Come to me right now, Ahmad"
ham,I am late. I will be there at
ham,Yup ok thanx...
ham,Convey my regards to him
ham,Dad says hurry the hell up
ham,Yeah right! I'll bring my tape measure fri!
ham,Neva mind it's ok..
ham,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
ham,Oh that was a forwarded message. I thought you send that to me
ham,\Wen u miss someone
ham,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)"
ham,Let's pool our money together and buy a bunch of lotto tickets. If we win I get &lt;#&gt; % u get &lt;#&gt; %. Deal?
ham,"Pls send me a comprehensive mail about who i'm paying, when and how much."
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
ham,Good morning princess! Have a great day!
ham,K:)all the best:)congrats...
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"""
ham,Anything lor if they all go then i go lor...
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
ham,"Yeah, probably here for a while"
ham,Yep then is fine 7.30 or 8.30 for ice age.
ham,"Aight, I'll ask a few of my roommates"
ham,X2  &lt;#&gt; . Are you going to get that
ham,She's fine. Sends her greetings
ham,K.k:)when are you going?
ham,"Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is  &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj"
ham,Ill be there on  &lt;#&gt;  ok.
ham,"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\"""""
ham,"Ok omw now, you at castor?"
ham,Long beach lor. Expected... U having dinner now?
ham,Dear i am not denying your words please
spam,08714712388 between 10am-7pm Cost 10p
ham,Yeah we do totes. When u wanna?
ham,Also remember the beads don't come off. Ever.
ham,No..few hours before.went to hair cut .
spam,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs å£1.50 each"
ham,R u still working now?
ham,Also hi wesley how've you been
ham,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.
ham,On the road so cant txt
ham,"Just sent you an email ÛÒ to an address with incomm in it, is that right?"
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
ham,Hey morning what you come to ask:-) pa...
ham,"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?"
spam,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec å£1.50ea. OTBox 731 LA1 7WS. )"
ham,Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...
ham,"Yeah, probably earlier than that"
spam,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007"
ham,I like to talk pa but am not able to. I dont know y.
ham,U're welcome... Caught u using broken english again...
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
ham,Mm that time you dont like fun
ham,"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?"
spam,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"""
ham,No. She's currently in scotland for that.
ham,You intrepid duo you! Have a great time and see you both soon. 
ham,I'll be at mu in like  &lt;#&gt;  seconds
ham,Ok.ok ok..then..whats ur todays plan
ham,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back
ham,"Hmm ok, i'll stay for like an hour cos my eye is really sore!"
ham,K.i did't see you.:)k:)where are you now?
spam,"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or å£1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR"
spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r
ham,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier."
spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text"
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records"
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,Please tell me not all of my car keys are in your purse
